1 着,2 着,2連 対率,3 着,3連 対率,B,S,Unnamed: 0,ギヤ 倍数,マ,予 想,勝 率,好 気 合,差,捲,枠 番,着 外,競走得点,級 班,総 評,脚 質,車 番,逃,選手名 府県/年齢/期別
1,2,20.0,2,33.3,3,3,0,3.92,1,△,6.6,,0,0,1,10,68.13,A3,4,両,1,2,近藤 悠人  鹿児島/34/93
1,1,9.5,4,28.5,1,2,1,3.92,1,×,4.7,,1,0,2,15,67.76,A3,4,追,2,0,久保田 奉文  福　井/42/86
17,2,90.4,1,95.2,16,2,2,3.85,0,◎,80.9,,0,7,3,1,79.0,A3,1,逃,3,12,倉田 紘希  三　重/20/117
0,2,13.3,1,20.0,0,0,3,3.92,0,▲,0.0,,2,0,4,12,66.66,A3,5,追,4,0,原 敬次  佐　賀/53/60
4,5,42.8,3,57.1,0,1,4,3.92,4,○,19.0,,5,0,5,9,74.04,A3,2,追,5,0,鰐渕 正利  愛　知/51/65
0,0,0.0,0,0.0,0,0,5,3.92,0,,0.0,,0,0,6,18,61.44,A3,6,追,6,0,齋藤 勝  広　島/60/53
1,0,20.0,0,20.0,0,1,6,3.86,0,注,20.0,,1,0,6,4,68.5,A3,4,追,7,0,高田 隼人  熊　本/43/81
3,5,38.0,2,47.6,6,1,0,3.92,1,◎,14.2,,2,4,1,11,85.28,A2,3,両,1,1,山田 純也  岐　阜/32/99
3,5,30.7,2,38.4,10,5,1,3.92,2,○,11.5,,1,1,2,16,82.07,A2,4,両,2,4,松田 直也  大　分/36/92
1,1,9.5,1,14.2,1,1,2,3.86,0,▲,4.7,,0,2,3,18,78.66,A2,5,逃,3,0,永橋 武司  大　阪/38/90
1,0,12.5,2,37.5,1,0,3,3.92,0,△,12.5,,0,1,4,5,85.87,A1,3,両,4,0,杉山 剛  福　岡/43/86
1,2,14.2,2,23.8,0,2,4,3.93,2,×,4.7,,1,0,5,16,81.19,A2,4,追,5,0,鷲見 逸喜  岐　阜/43/79
1,0,16.6,0,16.6,0,0,5,3.92,0,注,16.6,,1,0,6,5,81.16,A2,4,追,6,0,太田黒 大心  熊　本/46/74
3,3,28.5,3,42.8,7,0,0,3.92,0,△,14.2,,0,2,1,12,83.14,A2,4,逃,1,4,小出 慎也  和歌山/29/109
3,2,25.0,4,45.0,0,1,1,3.92,2,◎,15.0,,1,2,2,11,88.65,A1,3,追,2,0,石丸 寛之  岡　山/46/76
1,2,14.2,2,23.8,0,2,2,3.92,2,▲,4.7,,1,0,3,16,84.65,A2,4,追,3,0,古田 義明  三　重/47/79
1,1,11.1,5,38.8,0,4,3,3.92,1,×,5.5,,1,0,4,11,82.72,A2,4,追,4,0,曽我部 匡史  愛　媛/47/82
2,2,22.2,6,55.5,0,1,4,3.92,2,○,11.1,,2,0,5,8,89.83,A1,2,追,5,0,内山 貴裕  京　都/32/95
2,4,33.3,2,44.4,10,3,5,3.92,0,注,11.1,,1,4,6,10,81.22,A2,4,逃,6,1,野上 竜太  岡　山/25/115
4,2,37.5,0,37.5,3,3,0,3.85,0,◎,25.0,,1,3,1,10,86.25,A2,3,逃,1,2,三浦 貴大  岐　阜/22/115
0,5,22.7,7,54.5,0,6,1,3.92,4,×,0.0,,1,0,2,10,88.31,A1,3,追,2,0,玉手 翔  兵　庫/37/91
1,1,11.1,4,33.3,0,2,2,3.92,0,注,5.5,,2,0,3,12,83.66,A2,4,追,3,0,山根 泰道  岡　山/51/64
1,3,25.0,2,37.5,0,1,3,3.92,1,○,6.2,,3,0,4,10,85.75,A1,3,追,4,0,宝満 大作  岐　阜/41/85
0,0,0.0,0,0.0,0,0,4,3.92,0,▲,0.0,,0,0,5,3,77.66,A2,5,追,5,0,垣外中 勝哉  大　阪/49/68
3,6,40.9,2,50.0,8,1,5,3.93,0,△,13.6,,3,1,6,11,82.13,A2,4,逃,6,5,才迫 勇馬  広　島/32/95
6,2,38.0,4,57.1,5,3,0,3.92,0,×,28.5,,1,4,1,9,71.57,A3,3,両,1,3,栗田 雅也  静　岡/41/84
2,3,41.6,3,66.6,0,0,1,3.92,1,○,16.6,,4,0,2,4,73.75,A3,3,追,2,0,柳澤 達也  兵　庫/48/72
1,4,27.7,4,50.0,0,0,2,3.85,1,△,5.5,,3,1,3,9,69.61,A3,4,追,3,0,安藤 宜明  神奈川/50/74
0,1,4.1,6,29.1,0,0,3,3.71,0,▲,0.0,,1,0,4,17,67.16,A3,5,追,4,0,辻本 兼市  兵　庫/50/66
0,2,13.3,3,33.3,0,0,4,3.86,0,,0.0,,2,0,5,10,66.93,A3,5,追,5,0,青山 佐知男  千　葉/47/81
1,0,6.6,2,20.0,1,1,5,3.92,0,注,6.6,,1,0,6,12,65.76,A3,5,追,6,0,田崎 良太郎  福　島/40/87
14,4,75.0,0,75.0,17,1,6,3.92,0,◎,58.3,,0,5,6,6,75.58,A3,2,逃,7,13,内藤 久文  愛　知/29/117
1,4,23.8,3,38.0,5,0,0,3.85,0,注,4.7,,0,5,1,13,81.61,A1,4,逃,1,0,小岩 哲也  大　分/35/101
1,6,35.0,2,45.0,0,5,1,3.92,3,×,5.0,,3,1,2,11,86.84,A2,3,両,2,0,一ノ瀬 貴将  大　阪/34/98
1,3,21.0,2,31.5,0,4,2,3.92,2,◎,5.2,,2,0,3,13,90.1,A1,2,追,3,0,藤原 悠斗  岡　山/35/91
1,3,30.7,1,38.4,0,1,3,3.92,3,△,7.6,,1,0,4,8,86.41,A1,3,追,4,0,中澤 孝之  大　阪/55/56
3,3,33.3,3,50.0,11,1,4,3.92,0,○,16.6,,0,0,5,9,83.94,A2,4,逃,5,6,蒋野 翔太  徳　島/25/115
0,4,19.0,4,38.0,0,2,5,3.92,2,▲,0.0,,2,0,6,13,82.8,A2,4,追,6,0,川野 正芳  大　分/43/80
1,5,28.5,6,57.1,0,0,0,3.92,2,○,4.7,,4,0,1,9,88.04,A1,3,追,1,0,三浦 稔希  愛　知/45/76
1,5,28.5,5,52.3,0,0,1,3.92,4,×,4.7,,2,0,2,10,85.38,A1,3,追,2,0,櫻井 宏智  広　島/50/72
1,3,25.0,1,31.2,3,3,2,3.92,0,△,6.2,,2,2,3,11,80.5,A2,4,両,3,0,高倉 俊宏  福　岡/34/93
4,1,27.7,1,33.3,11,13,3,3.92,0,▲,22.2,,0,0,4,12,81.0,A2,4,逃,4,5,田村 裕也  徳　島/25/113
2,1,25.0,3,50.0,1,3,4,3.92,0,◎,16.6,,1,2,5,6,89.41,A1,2,逃,5,0,藤井 準也  岐　阜/26/105
2,2,19.0,0,19.0,1,2,5,3.92,1,注,9.5,,3,0,6,17,81.3,A2,4,追,6,0,渡邉 満  福　岡/48/73
2,5,35.0,6,65.0,0,1,0,3.92,3,×,10.0,,4,0,1,7,88.1,A1,3,追,1,0,山原 利秀  高　知/52/63
1,5,27.2,0,27.2,2,1,1,3.93,2,▲,4.5,,4,0,2,16,82.72,A2,4,追,2,0,太田 雅之  三　重/43/86
11,1,66.6,2,77.7,8,2,2,3.92,0,◎,61.1,,0,7,3,4,92.41,A2,2,逃,3,5,緒方 将樹  熊　本/22/117
